"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"607","DOgw",2016-07-21,"st18",9.226683665,3.588154758,5.573274739,9.166149737,12.54409009,203
"608","DOgw",2016-07-22,"st18",9.403863389,3.657057985,5.533174135,9.361935914,13.07849851,204
"609","DOgw",2016-07-23,"st18",9.355185037,3.638127514,5.761134523,9.503198045,12.90177447,205
"610","DOgw",2016-07-24,"st18",9.342875534,3.633340486,5.811379522,9.499520462,13.16845586,206
"611","DOgw",2016-07-25,"st18",9.358608323,3.639458792,5.324501349,9.311617598,12.87564641,207
"612","DOgw",2016-07-26,"st18",9.061099269,3.523760827,5.494287025,9.130872898,12.7819707,208
"613","DOgw",2016-07-27,"st18",9.10625989,3.541323291,5.637431133,9.316032803,12.94719267,209
"614","DOgw",2016-07-28,"st18",9.275422031,3.607108568,5.548652893,9.423888138,13.01495286,210
"615","DOgw",2016-07-29,"st18",9.329019054,3.627951854,5.832572375,9.337600882,12.72553412,211
"616","DOgw",2016-07-30,"st18",9.388962537,3.651263209,5.548377131,9.549358045,13.30154595,212
"617","DOgw",2016-07-31,"st18",9.505954752,3.696760181,5.493940562,9.424255888,13.02507829,213
"618","DOgw",2016-08-01,"st18",9.526813864,3.704872058,5.767759027,9.373002876,12.89843297,214
"619","DOgw",2016-08-02,"st18",9.353823215,3.637597917,5.766551501,9.479221436,13.14095524,215
"620","DOgw",2016-08-03,"st18",9.471354658,3.683304589,5.330162477,9.556746365,13.53229103,216
"621","DOgw",2016-08-04,"st18",9.447930946,3.674195368,5.124099311,9.529706685,13.53402853,217
"622","DOgw",2016-08-05,"st18",9.670130913,3.760606466,5.26229358,9.514486028,13.64742097,218
"623","DOgw",2016-08-06,"st18",9.474098184,3.684371516,5.014519174,9.519570344,14.08335861,219
"624","DOgw",2016-08-07,"st18",9.379671708,3.647650109,5.100653771,9.83476463,15.23048883,220
"625","DOgw",2016-08-08,"st18",9.441510509,3.671698531,4.442047757,9.657495947,14.39327806,221
"626","DOgw",2016-08-09,"st18",9.684553819,3.766215374,4.923953268,9.803707357,14.39976396,222
"627","DOgw",2016-08-10,"st18",9.540542267,3.710210882,5.021111276,9.281331499,13.97948206,223
"628","DOgw",2016-08-11,"st18",9.387227606,3.650588513,5.710045612,9.108474615,12.41053013,224
"629","DOgw",2016-08-12,"st18",9.20563045,3.579967397,5.167062,9.485319105,14.12588654,225
"630","DOgw",2017-07-02,"st18",9.638439536,3.748282042,2.06892413,9.693497237,17.50739717,183
"631","DOgw",2017-07-03,"st18",9.844203416,3.828301328,1.713930932,10.14175836,17.1452413,184
"632","DOgw",2017-07-04,"st18",9.791255248,3.807710374,2.36026786,9.250169305,15.31518847,185
"633","DOgw",2017-07-05,"st18",9.919691843,3.857657939,2.550456614,9.357046645,16.35577954,186
"634","DOgw",2017-07-06,"st18",9.898647909,3.849474187,2.600903488,10.1779122,17.07906743,187
"635","DOgw",2017-07-07,"st18",9.899002581,3.849612115,1.988361798,9.937503784,16.71957075,188
"636","DOgw",2017-07-08,"st18",9.91987593,3.857729528,3.022768261,9.890446899,16.85861659,189
"637","DOgw",2017-07-11,"st18",9.571084755,3.722088516,2.514152502,9.528347354,17.24233008,192
"638","DOgw",2017-07-13,"st18",9.585477943,3.727685867,2.722032784,10.03237416,16.8945483,194
"639","DOgw",2017-07-15,"st18",9.81189559,3.815737174,1.953779277,9.946532798,18.68572986,196
"640","DOgw",2017-07-16,"st18",9.786925254,3.806026488,2.152746921,9.424692525,17.85860593,197
"641","DOgw",2017-07-17,"st18",9.787541913,3.806266299,2.563145048,9.825472215,17.47250003,198
"642","DOgw",2017-07-19,"st18",9.864606235,3.836235758,2.304416704,9.566623644,17.1206941,200
"643","DOgw",2017-07-20,"st18",9.534276049,3.707774019,2.841563092,10.6050137,17.27456118,201
"644","DOgw",2017-07-21,"st18",9.760016164,3.795561841,1.441504286,9.059293613,16.46661989,202
"645","DOgw",2017-07-22,"st18",9.819899412,3.818849771,2.021685606,10.32629395,18.11785988,203
"646","DOgw",2017-07-23,"st18",9.824896275,3.820792996,1.92786286,9.381601702,16.82459328,204
"647","DOgw",2017-07-24,"st18",9.922482701,3.858743272,2.429230691,10.18654333,16.89796389,205
"648","DOgw",2017-07-25,"st18",9.794652699,3.809031605,1.662068922,9.51701111,17.44898181,206
"649","DOgw",2017-07-26,"st18",9.373815647,3.645372752,2.460858545,9.794905071,17.289757,207
"650","DOgw",2017-07-27,"st18",9.192667178,3.574926125,2.557070957,9.141120498,16.0888353,208
"651","DOgw",2017-07-28,"st18",9.331542136,3.628933053,2.126305446,9.565383555,17.06842275,209
"652","DOgw",2017-07-29,"st18",9.465548151,3.681046503,2.319360834,9.871786628,16.48216829,210
"653","DOgw",2017-07-30,"st18",9.470072758,3.682806073,1.467091355,9.073243891,15.85876827,211
"654","DOgw",2017-07-31,"st18",9.465824903,3.681154129,2.541820697,9.327854001,16.01206017,212
"655","DOgw",2017-08-01,"st18",9.648923207,3.752359025,1.207842308,9.856689494,17.37716181,213
"656","DOgw",2017-08-02,"st18",9.608396974,3.736598823,2.668318656,9.599766143,16.83969758,214
"657","DOgw",2017-08-03,"st18",9.588038861,3.728681779,2.363830125,9.140841222,16.17824058,215
"658","DOgw",2017-08-04,"st18",9.685830281,3.766711776,3.028253661,9.808923245,16.85188993,216
"659","DOgw",2017-08-05,"st18",9.643805858,3.750368945,2.796895154,9.515332351,16.25774552,217
"660","DOgw",2017-08-06,"st18",9.652366699,3.753698161,2.067439615,9.283362118,16.25363798,218
"661","DOgw",2017-08-07,"st18",9.663176793,3.757902086,2.027128027,9.655172049,16.66564804,219
"662","DOgw",2017-08-08,"st18",10.0169909,3.895496461,2.524255086,10.02971204,17.38504467,220
"663","DOgw",2017-08-09,"st18",9.796032663,3.809568258,1.481695741,8.99175295,17.21584586,221
"664","DOgw",2015-07-02,"st9",9.184044567,3.571572887,3.753152597,9.316346142,15.14362789,183
"665","DOgw",2015-07-03,"st9",9.079504485,3.530918411,3.031724895,8.905821058,14.58400235,184
"666","DOgw",2015-07-04,"st9",9.106328235,3.541349869,4.160696156,9.44590086,14.66062701,185
"667","DOgw",2015-07-05,"st9",9.097553292,3.537937391,2.686513048,8.702232952,14.74358645,186
"668","DOgw",2015-07-06,"st9",9.063126286,3.524549111,3.666980475,8.83960229,14.26536132,187
"669","DOgw",2015-07-07,"st9",9.029907573,3.511630723,3.841009563,9.229409238,14.6584625,188
"670","DOgw",2015-07-08,"st9",9.076297349,3.529671191,2.815801263,9.00744303,14.86451907,189
"671","DOgw",2015-07-09,"st9",9.095599747,3.537177679,3.649141326,9.39602611,14.96589026,190
"672","DOgw",2015-07-10,"st9",9.092093018,3.535813951,3.978175959,9.355260944,15.07426855,191
"673","DOgw",2015-07-11,"st9",9.108307584,3.542119616,3.228951448,9.14783826,15.11723919,192
"674","DOgw",2015-07-12,"st9",9.000135419,3.500052663,3.986275604,9.579941699,15.30995279,193
"675","DOgw",2015-07-13,"st9",9.020246268,3.507873549,3.463131949,9.152570534,15.15571753,194
"676","DOgw",2015-07-14,"st9",9.117883401,3.545843545,3.608800688,9.497658186,15.77892482,195
"677","DOgw",2015-07-15,"st9",8.980617175,3.492462235,3.299487829,8.557088656,14.76088105,196
"678","DOgw",2015-07-16,"st9",9.033232374,3.512923701,2.720122657,8.881279523,14.65525917,197
"679","DOgw",2015-07-17,"st9",8.960173199,3.4845118,3.506394483,8.98370455,14.923528,198
"680","DOgw",2015-07-18,"st9",8.971616357,3.488961917,4.67612596,8.861621986,13.46561787,199
"681","DOgw",2015-07-20,"st9",9.263029714,3.602289333,4.754095247,9.126079363,13.19308454,201
"682","DOgw",2015-07-21,"st9",9.127727011,3.549671616,4.749062581,9.023929414,13.35819956,202
"683","DOgw",2015-07-22,"st9",9.049406602,3.519213679,4.607331593,9.199212837,13.52146179,203
"684","DOgw",2015-07-23,"st9",9.031323677,3.51218143,5.323199747,9.24700298,13.44854367,204
"685","DOgw",2015-07-24,"st9",9.083262044,3.532379684,5.337695037,9.145140169,13.38453729,205
"686","DOgw",2015-07-25,"st9",9.146828225,3.557099865,6.124709222,9.416203188,12.98302235,206
"687","DOgw",2015-07-26,"st9",9.119482357,3.546465361,4.972341163,9.112152732,13.30685972,207
"688","DOgw",2015-07-27,"st9",9.148363285,3.557696833,5.233555475,9.194945518,13.1017394,208
"689","DOgw",2015-07-28,"st9",9.02979727,3.511587827,5.643825905,9.21642347,12.79027037,209
"690","DOgw",2015-07-29,"st9",9.047008294,3.518281003,4.956813815,8.969250261,13.24288968,210
"691","DOgw",2015-07-30,"st9",9.11076985,3.543077164,5.556245254,9.299518555,13.0223074,211
"692","DOgw",2015-07-31,"st9",9.08733107,3.533962083,4.886867402,9.494536109,14.07438291,212
"693","DOgw",2015-08-01,"st9",9.22201323,3.586338478,5.674830118,9.6067343,13.55301185,213
"694","DOgw",2015-08-02,"st9",9.088597763,3.534454685,5.262942101,9.101552293,12.71069487,214
"695","DOgw",2015-08-03,"st9",9.041581604,3.516170624,4.928258856,9.154629411,13.38582522,215
"696","DOgw",2015-08-04,"st9",9.051305768,3.519952243,4.652453574,8.850612639,13.09352552,216
"697","DOgw",2015-08-05,"st9",8.94781108,3.479704309,4.909578028,9.106450458,13.31971103,217
"698","DOgw",2015-08-06,"st9",8.885759827,3.455573266,4.598427857,9.180455792,13.99437474,218
"699","DOgw",2015-08-07,"st9",8.955919016,3.482857395,4.584410109,9.363067299,14.26597085,219
"700","DOgw",2015-08-08,"st9",9.036725544,3.514282156,4.524570453,8.969709115,14.11482584,220
"701","DOgw",2015-08-09,"st9",8.939360397,3.476417932,4.626988235,9.137366857,13.87093331,221
"702","DOgw",2016-07-01,"st9",9.192056753,3.574688737,7.217007247,9.271912524,11.23065704,183
"703","DOgw",2016-07-02,"st9",9.421115284,3.663767055,7.346684708,9.448980317,11.49821621,184
"704","DOgw",2016-07-03,"st9",9.247088372,3.596089923,7.216930598,9.336115586,11.43896637,185
"705","DOgw",2016-07-04,"st9",9.153038873,3.559515117,6.978266909,9.358729074,11.50951884,186
"706","DOgw",2016-07-05,"st9",9.115477566,3.544907942,6.751606122,9.200581757,11.67202571,187
"707","DOgw",2016-07-06,"st9",8.936485589,3.475299951,6.602514121,9.056226012,11.5780359,188
"708","DOgw",2016-07-07,"st9",8.966162493,3.48684097,6.535867699,9.20732774,11.55928152,189
"709","DOgw",2016-07-08,"st9",9.288737067,3.612286637,6.717768106,9.326782941,11.90276091,190
"710","DOgw",2016-07-09,"st9",9.224431444,3.587278895,6.566568905,9.325123067,12.1312674,191
"711","DOgw",2016-07-10,"st9",9.178037511,3.56923681,6.621565302,9.281864672,11.85686098,192
"712","DOgw",2016-07-11,"st9",9.094164536,3.536619542,6.004159849,8.90936405,11.60719092,193
"713","DOgw",2016-07-12,"st9",9.08274467,3.532178483,6.298374934,9.145313489,11.8951786,194
"714","DOgw",2016-07-13,"st9",8.995866035,3.498392347,6.310407685,9.114815251,11.70905423,195
"715","DOgw",2016-07-14,"st9",9.263571983,3.602500216,6.223998682,9.054743291,11.97597033,196
"716","DOgw",2016-07-15,"st9",9.11016482,3.542841874,6.267602427,9.133360901,11.81066097,197
"717","DOgw",2016-07-16,"st9",8.976516283,3.490867444,6.27672362,9.073412498,11.80874446,198
"718","DOgw",2016-07-17,"st9",9.10393144,3.540417782,6.381869396,9.163007115,12.10882551,199
"719","DOgw",2016-07-18,"st9",8.901011571,3.4615045,6.749549679,8.975184586,11.1862153,200
"720","DOgw",2016-07-19,"st9",8.983731555,3.493673382,6.865359373,9.113972238,11.5054311,201
"721","DOgw",2016-07-20,"st9",8.837528093,3.436816481,6.609150492,8.909452946,11.01131337,202
"722","DOgw",2016-07-21,"st9",8.86063018,3.445800625,6.674699275,8.873394488,11.06235764,203
"723","DOgw",2016-07-22,"st9",8.977195072,3.491131417,6.778074933,9.048872172,11.27578482,204
"724","DOgw",2016-07-23,"st9",8.970711526,3.488610038,6.950930144,9.038545735,11.06411635,205
"725","DOgw",2016-07-24,"st9",8.990635338,3.496358187,7.064975802,9.010650834,11.17956608,206
"726","DOgw",2016-07-25,"st9",8.993987497,3.497661804,6.987848586,8.957868598,10.85155138,207
"727","DOgw",2016-07-26,"st9",8.779526848,3.414260441,6.612536396,8.808119924,10.87151199,208
"728","DOgw",2016-07-27,"st9",8.802481244,3.42318715,6.729504496,8.956639581,11.09200908,209
"729","DOgw",2016-07-28,"st9",8.922703242,3.46994015,6.75662237,8.989271338,11.03759494,210
"730","DOgw",2016-07-29,"st9",8.96037508,3.484590309,6.816812396,9.025473339,11.20305895,211
"731","DOgw",2016-07-30,"st9",9.065700784,3.525550305,6.800495804,9.031010288,11.50142378,212
"732","DOgw",2016-07-31,"st9",9.174318422,3.567790498,6.807745623,9.285966527,11.69266603,213
"733","DOgw",2016-08-01,"st9",9.119193495,3.546353026,6.503475371,9.280982513,12.00255404,214
"734","DOgw",2016-08-02,"st9",8.999404263,3.499768325,6.330641383,9.02188174,11.74993062,215
"735","DOgw",2016-08-03,"st9",9.10071455,3.53916677,6.743812603,9.237119854,11.69247013,216
"736","DOgw",2016-08-04,"st9",9.15623571,3.560758332,6.847724948,9.418037382,11.9307665,217
"737","DOgw",2016-08-05,"st9",9.293213988,3.614027662,6.785259329,9.390518144,11.87249947,218
"738","DOgw",2016-08-06,"st9",9.125229826,3.548700488,6.692512753,9.127157138,11.70018596,219
"739","DOgw",2016-08-07,"st9",9.097578118,3.537947046,6.55480784,9.130395091,11.66969256,220
"740","DOgw",2016-08-08,"st9",9.165190776,3.564240857,6.364284706,9.131303957,11.98194178,221
"741","DOgw",2016-08-09,"st9",9.290562832,3.612996657,6.423495073,9.159408176,12.19856454,222
"742","DOgw",2016-08-10,"st9",9.22271767,3.586612427,6.687021062,9.208607186,11.64967737,223
"743","DOgw",2016-08-11,"st9",9.072982864,3.528382225,7.139992086,9.012228553,10.74617508,224
"744","DOgw",2017-07-02,"st9",9.06177737,3.524024533,5.838761267,9.119902977,12.20943597,183
"745","DOgw",2017-07-03,"st9",9.252611583,3.598237838,5.761749904,9.292861612,13.16717996,184
"746","DOgw",2017-07-04,"st9",9.17462548,3.567909909,5.368540575,9.097712071,12.89446977,185
"747","DOgw",2017-07-05,"st9",9.302418793,3.617607308,5.299785195,9.419341024,13.39632498,186
"748","DOgw",2017-07-06,"st9",9.277271095,3.607827648,6.081446989,9.439389541,12.81228855,187
"749","DOgw",2017-07-07,"st9",9.220926001,3.585915667,6.098094556,9.257725815,12.46580033,188
"750","DOgw",2017-07-08,"st9",9.303123402,3.617881323,6.313217427,9.37991784,12.73850217,189
"751","DOgw",2017-07-11,"st9",9.092616226,3.536017421,5.638349611,9.259398231,12.55274862,192
"752","DOgw",2017-07-12,"st9",9.244404067,3.595046026,5.595074271,9.206360238,12.80335107,193
"753","DOgw",2017-07-13,"st9",9.088684221,3.534488308,6.036434013,9.607113996,13.12554446,194
"754","DOgw",2017-07-15,"st9",9.237699471,3.592438683,6.373072629,9.064887005,11.56825799,196
"755","DOgw",2017-07-16,"st9",9.337186562,3.631128107,6.515137022,9.418828366,12.08676267,197
"756","DOgw",2017-07-17,"st9",9.296521351,3.615313859,6.442579622,9.412225083,12.43160228,198
"757","DOgw",2017-07-19,"st9",9.375593049,3.646063963,6.917724614,9.471807763,11.61052311,200
"758","DOgw",2017-07-20,"st9",9.256172537,3.599622653,6.654745226,9.230655427,11.73838509,201
"759","DOgw",2017-07-21,"st9",9.280959245,3.609261929,6.288122042,9.368317551,12.26325548,202
"760","DOgw",2017-07-22,"st9",9.377518184,3.646812627,6.152961131,9.403973193,12.29415121,203
"761","DOgw",2017-07-23,"st9",9.360546538,3.640212543,6.174297756,9.247094875,12.1339529,204
"762","DOgw",2017-07-24,"st9",9.386924482,3.650470632,5.891811537,9.3334431,12.93235288,205
"763","DOgw",2017-07-25,"st9",9.309687618,3.620434074,5.759582918,9.064126185,12.43705836,206
"764","DOgw",2017-07-26,"st9",8.988708666,3.495608926,5.721845316,8.815765787,11.7741869,207
"765","DOgw",2017-07-27,"st9",8.851593505,3.442286363,5.926151519,9.279304873,12.60576378,208
"766","DOgw",2017-07-28,"st9",8.915662038,3.467201904,5.319467743,9.461371951,13.22686612,209
"767","DOgw",2017-07-29,"st9",8.966857106,3.487111097,5.808374724,9.709702503,13.35844234,210
"768","DOgw",2017-07-30,"st9",8.963292353,3.485724804,9.777235444,12.99536268,16.65699605,211
"769","DOgw",2017-07-31,"st9",8.983066986,3.493414939,4.801195941,8.964829279,12.99512537,212
"770","DOgw",2017-08-01,"st9",9.056255133,3.521876996,5.400300265,9.142983559,12.96057271,213
"771","DOgw",2017-08-02,"st9",9.040612871,3.515793894,4.506809512,8.903357988,13.04293719,214
"772","DOgw",2017-08-03,"st9",9.044717968,3.517390321,4.963903099,9.15469677,13.2084589,215
"773","DOgw",2017-08-04,"st9",9.05064965,3.519697086,4.974271261,9.13637591,13.4384282,216
"774","DOgw",2017-08-05,"st9",9.043287609,3.51683407,4.878378112,9.298808467,13.52367853,217
"775","DOgw",2017-08-06,"st9",9.099217013,3.538584394,5.026138507,9.323914629,13.45412556,218
"776","DOgw",2017-08-07,"st9",9.152536757,3.55931985,6.327987203,9.755524005,13.44842205,219
"777","DOgw",2017-08-08,"st9",9.354464573,3.637847334,5.497984711,9.585149084,13.2137205,220
"778","DOgw",2017-08-09,"st9",9.247889564,3.596401497,6.382994893,10.27164554,13.83531194,221
"779","DOgw",2015-07-02,"st6",7.350542152,2.940216861,3.371642613,7.406065968,11.26606016,183
"780","DOgw",2015-07-03,"st6",7.327668352,2.931067341,3.67227803,7.480434343,11.17570768,184
"781","DOgw",2015-07-04,"st6",7.35507981,2.942031924,3.896595782,7.543627802,11.58214861,185
"782","DOgw",2015-07-05,"st6",7.338015128,2.935206051,3.531198615,7.314996109,11.35058845,186
"783","DOgw",2015-07-06,"st6",7.317882042,2.927152817,4.234116688,7.814948247,11.59062114,187
"784","DOgw",2015-07-07,"st6",7.302249552,2.920899821,3.467368739,7.305014507,11.0549705,188
"785","DOgw",2015-07-08,"st6",7.329713325,2.93188533,3.43213949,7.26868576,11.72902401,189
"786","DOgw",2015-07-09,"st6",7.314214634,2.925685853,3.649061105,7.644558239,11.82593002,190
"787","DOgw",2015-07-10,"st6",7.29682113,2.918728452,3.814714591,7.613413831,11.65364419,191
"788","DOgw",2015-07-11,"st6",7.25712472,2.902849888,3.755253279,7.257932986,11.49124172,192
"789","DOgw",2015-07-12,"st6",7.19974231,2.879896924,3.368464174,7.344475385,11.15025068,193
"790","DOgw",2015-07-13,"st6",7.219066318,2.887626527,3.784530929,7.515263306,11.12203826,194
"791","DOgw",2015-07-14,"st6",7.265185225,2.90607409,3.449060937,7.350459187,11.20875066,195
"792","DOgw",2015-07-15,"st6",7.198819845,2.879527938,3.375972713,7.478441126,11.62827418,196
"793","DOgw",2015-07-16,"st6",7.24040812,2.896163248,3.720015518,7.56391779,11.55007559,197
"794","DOgw",2015-07-17,"st6",7.188527563,2.875411025,3.671706918,7.346334428,11.18997489,198
"795","DOgw",2015-07-18,"st6",7.180944265,2.872377706,3.582425345,7.423605266,11.45663147,199
"796","DOgw",2015-07-19,"st6",7.331076688,2.932430675,3.639339951,7.554083657,11.65172196,200
"797","DOgw",2015-07-20,"st6",7.261593746,2.904637498,3.522082819,7.513564823,11.57682737,201
"798","DOgw",2015-07-21,"st6",7.198757073,2.879502829,3.748782565,7.69169169,11.70378058,202
"799","DOgw",2015-07-22,"st6",7.166525607,2.866610243,3.25880917,7.262578879,11.15289401,203
"800","DOgw",2015-07-23,"st6",7.169895856,2.867958342,3.63808914,7.61494373,11.48130168,204
"801","DOgw",2015-07-24,"st6",7.206144505,2.882457802,3.218615098,7.28733767,11.29165796,205
"802","DOgw",2015-07-25,"st6",7.214961597,2.885984639,3.087718279,7.25445338,11.28035825,206
"803","DOgw",2015-07-26,"st6",7.197025698,2.878810279,3.027514643,7.307626478,11.48096036,207
"804","DOgw",2015-07-27,"st6",7.192155418,2.876862167,3.888513598,7.686410778,12.17851452,208
"805","DOgw",2015-07-28,"st6",7.148145805,2.859258322,3.528485394,7.306501627,11.10804062,209
"806","DOgw",2015-07-29,"st6",7.159300946,2.863720379,3.015443468,7.261041336,11.59233228,210
"807","DOgw",2015-07-30,"st6",7.192497194,2.876998878,3.10718584,7.288622446,11.2291974,211
"808","DOgw",2015-07-31,"st6",7.139106684,2.855642673,3.546696157,7.555815302,11.32489357,212
"809","DOgw",2015-08-01,"st6",7.206074725,2.88242989,3.142547857,7.609008572,11.89404251,213
"810","DOgw",2015-08-02,"st6",7.145718409,2.858287363,4.146799258,7.679192929,11.33687187,214
"811","DOgw",2015-08-03,"st6",7.110868935,2.844347574,3.943363992,7.385543135,10.95576326,215
"812","DOgw",2015-08-04,"st6",7.097447724,2.83897909,3.573372409,7.582928137,10.82517467,216
"813","DOgw",2015-08-05,"st6",7.044006171,2.817602468,3.565689532,7.181595265,11.28371851,217
"814","DOgw",2015-08-06,"st6",7.002751783,2.801100713,2.456645597,7.009735563,11.16135241,218
"815","DOgw",2015-08-07,"st6",7.048738806,2.819495523,2.956834518,7.440947429,11.56857905,219
"816","DOgw",2015-08-08,"st6",7.09738468,2.838953872,3.06105107,7.395507099,11.15336638,220
"817","DOgw",2015-08-09,"st6",7.005085429,2.802034172,3.457483733,7.665161087,11.54959656,221
"818","DOgw",2016-07-01,"st6",7.197774894,2.879109957,4.87309364,7.232042882,9.577686359,183
"819","DOgw",2016-07-02,"st6",7.308018103,2.923207241,5.022378661,7.335884397,9.483863319,184
"820","DOgw",2016-07-03,"st6",7.248330692,2.899332277,4.88472331,7.414735559,9.920737684,185
"821","DOgw",2016-07-04,"st6",7.213382427,2.885352971,4.621694539,7.485023661,9.939107511,186
"822","DOgw",2016-07-05,"st6",7.235823162,2.894329265,4.849045066,7.362903046,9.915507928,187
"823","DOgw",2016-07-06,"st6",7.14947159,2.859788636,4.637068382,7.231421034,9.846674603,188
"824","DOgw",2016-07-07,"st6",7.14739456,2.858957824,4.906407054,7.30119826,9.710931739,189
"825","DOgw",2016-07-08,"st6",7.281179135,2.912471654,4.898122001,7.378704914,9.676883212,190
"826","DOgw",2016-07-09,"st6",7.21277497,2.885109988,4.679699186,7.175828354,9.602536139,191
"827","DOgw",2016-07-10,"st6",7.202459611,2.880983845,4.895545603,7.420049803,9.715378346,192
"828","DOgw",2016-07-11,"st6",7.174013571,2.869605428,4.543379626,7.359486735,9.706204928,193
"829","DOgw",2016-07-12,"st6",7.171129987,2.868451995,4.857710259,7.347181153,9.763484548,194
"830","DOgw",2016-07-13,"st6",7.150121326,2.860048531,4.67138601,7.223426365,9.553571241,195
"831","DOgw",2016-07-14,"st6",7.293322093,2.917328837,5.12568483,7.521053335,9.980942855,196
"832","DOgw",2016-07-15,"st6",7.156471613,2.862588645,4.747984593,7.24803575,9.568009748,197
"833","DOgw",2016-07-16,"st6",7.077852916,2.831141166,4.623984312,7.089200489,9.412461693,198
"834","DOgw",2016-07-17,"st6",7.142659845,2.857063938,4.851689936,7.338263593,9.695219761,199
"835","DOgw",2016-07-18,"st6",7.044210862,2.817684345,4.790829413,7.325955916,9.799673907,200
"836","DOgw",2016-07-19,"st6",7.06459207,2.825836828,4.575181884,7.157178878,9.60429854,201
"837","DOgw",2016-07-20,"st6",6.97770169,2.791080676,4.721992044,7.026714753,9.498455516,202
"838","DOgw",2016-07-21,"st6",7.019072598,2.807629039,4.831195532,7.263728541,9.6016588,203
"839","DOgw",2016-07-22,"st6",7.072908514,2.829163406,5.347799123,7.285849783,9.194557712,204
"840","DOgw",2016-07-23,"st6",7.055708321,2.822283329,5.318815317,7.199815757,9.025058582,205
"841","DOgw",2016-07-24,"st6",7.067709192,2.827083677,4.961252155,7.196507979,9.121768472,206
"842","DOgw",2016-07-25,"st6",7.063794403,2.825517761,5.223867865,7.198913019,9.07238258,207
"843","DOgw",2016-07-26,"st6",6.939982174,2.775992869,5.276942505,6.91923641,8.523160555,208
"844","DOgw",2016-07-27,"st6",6.969902554,2.787961021,5.344690634,7.116505125,8.790137016,209
"845","DOgw",2016-07-28,"st6",7.025385416,2.810154166,4.769683806,7.074532945,9.213331578,210
"846","DOgw",2016-07-29,"st6",7.04190832,2.816763328,5.281537194,7.223790774,9.036571522,211
"847","DOgw",2016-07-30,"st6",7.079128629,2.831651452,5.24912992,7.25650086,9.234945107,212
"848","DOgw",2016-07-31,"st6",7.123109623,2.849243849,5.283083225,7.278832669,9.324331095,213
"849","DOgw",2016-08-01,"st6",7.08844567,2.835378268,5.2077776,7.284569826,9.248109732,214
"850","DOgw",2016-08-02,"st6",7.010125321,2.804050129,5.146791734,7.165189802,9.054226024,215
"851","DOgw",2016-08-03,"st6",7.059665933,2.823866373,5.085785553,7.093945792,8.958826487,216
"852","DOgw",2016-08-04,"st6",7.064006226,2.82560249,5.26767308,7.293729995,9.24554714,217
"853","DOgw",2016-08-05,"st6",7.087532897,2.835013159,5.276416812,7.356439748,9.225168937,218
"854","DOgw",2016-08-06,"st6",7.061250602,2.824500241,4.848854156,7.215013385,9.278998858,219
"855","DOgw",2016-08-07,"st6",7.035584365,2.814233746,4.718005264,7.184519439,9.782829178,220
"856","DOgw",2016-08-08,"st6",7.099841108,2.839936443,4.535186519,7.031250521,9.767217178,221
"857","DOgw",2016-08-09,"st6",7.099263271,2.839705308,4.32859278,6.979740888,9.546019612,222
"858","DOgw",2016-08-10,"st6",7.088413705,2.835365482,4.370663279,7.242805029,9.814974742,223
"859","DOgw",2016-08-11,"st6",7.13530803,2.854123212,4.498898788,6.960849261,9.578356725,224
"860","DOgw",2016-08-12,"st6",6.948631221,2.779452488,4.480491101,7.026090305,9.641183533,225
"861","DOgw",2017-07-02,"st6",7.22951385,2.89180554,3.347595654,7.448464125,11.3529087,183
"862","DOgw",2017-07-03,"st6",7.331269248,2.932507699,2.796483286,7.089370118,11.47510497,184
"863","DOgw",2017-07-04,"st6",7.306633881,2.922653552,3.6088663,7.3058295,11.14599132,185
"864","DOgw",2017-07-05,"st6",7.367290005,2.946916002,3.472142429,7.36907059,11.66606073,186
"865","DOgw",2017-07-06,"st6",7.317782389,2.927112955,3.679994128,7.515647652,11.45437752,187
"866","DOgw",2017-07-07,"st6",7.246093378,2.898437351,3.257523855,7.245526484,11.08358939,188
"867","DOgw",2017-07-11,"st6",7.218961071,2.887584428,3.036899607,7.328550573,11.53308312,192
"868","DOgw",2017-07-12,"st6",7.296712724,2.91868509,2.997229185,7.294804594,11.73718347,193
"869","DOgw",2017-07-13,"st6",7.177495728,2.870998291,3.475404698,7.37237896,11.17026531,194
"870","DOgw",2017-07-14,"st6",7.294125081,2.917650032,3.371391526,7.206916082,11.28411882,195
"871","DOgw",2017-07-15,"st6",7.181135762,2.872454305,2.943280359,7.114666898,11.60253603,196
"872","DOgw",2017-07-16,"st6",7.234085649,2.89363426,3.657115497,7.520813549,11.33572238,197
"873","DOgw",2017-07-17,"st6",7.248328628,2.899331451,3.45217913,7.177483264,10.68898199,198
"874","DOgw",2017-07-18,"st6",7.35861945,2.94344778,3.558701884,7.213478015,11.24142231,199
"875","DOgw",2017-07-19,"st6",7.225353877,2.890141551,3.518368376,7.347410711,10.94314055,200
"876","DOgw",2017-07-20,"st6",7.178439487,2.871375795,3.724584573,7.539068479,10.76963151,201
"877","DOgw",2017-07-21,"st6",7.213156118,2.885262447,3.909337014,7.501083037,10.96952654,202
"878","DOgw",2017-07-22,"st6",7.343180516,2.937272207,3.708940452,7.180707265,10.61094448,203
"879","DOgw",2017-07-23,"st6",7.374838474,2.94993539,3.853512999,7.503193629,10.88809232,204
