"","stream","X","date","max.DS.spcon.time","Q_DS","Q_US","temp_DS","temp_US","ttS","Qt_Qb","DS_stdSlope","US_stdSlope","Pdt","Date","Time","Release","int","slope","int_se","slope_se","lin_p","df.res","r2","streamR","QPdt","DaysRmQ","lg_m","ttSlope","ttSlopeSE","ttInt","ttIntSE","ttLmR2","ttLmPval","ttSmean","sig","predTtS","ttStoUse","Vms","KSF6","KO2_ambT","K_O2_T20"
"13","st11U",13,"5/10/13","2013-05-10 12:08:00",10.95608701,9.962434813,5.049679144,5.318877005,345,0.909305923,NA,NA,"2013-05-10 12:35:00","5/10/13","12:35",30,2.71287036420773,-0.0106826690920264,0.0218079477150841,0.000600021311793682,7.10189349841192e-13,18,0.946264785818999,"st11U","2013-05-10 12:08:00",0.01875,51.4,-0.697970770295037,0.0483084544953484,3.23162396129614,0.0404300499970822,0.963091257929646,5.15097649210182e-07,513.2,"S",320.608350875842,345,0.148985507246377,0.00159156287342074,0.00222818802278904,274.443680223712
"14","st14",14,"6/16/12","2012-06-16 10:49:09",11.44,10.86,10.2,9.9,522,0.95,0.3,0.3,"2012-06-16 12:40:00","6/16/12","12:40",8,-2.0063113286023,-0.0178393840051322,0.0391040714917263,0.000825395645486664,2.51421390986448e-14,18,0.9628963459288,"st14","2012-06-16 10:49:09",0.0769791666666667,67,-0.696347782103235,0.021062795575478,3.46617604672179,0.0296415347240598,0.993636366634833,5.99760325363846e-09,383,"S",535.97364137845,522,0.128352490421456,0.0022897293646434,0.00320562111050077,349.434279493244
"15","st14",15,"5/10/13","2013-05-10 13:48:00",37.67693904,36.98317012,1.601133603,1.669865047,249,0.981586378,NA,NA,"2013-05-10 14:20:00","5/10/13","14:20",31,2.51616853538982,-0.0117244895298262,0.0511314590957359,0.00105193809692706,3.08804002802667e-09,17,0.87962434986788,"st14","2013-05-10 13:48:00",0.0222222222222222,67,-0.696347782103235,0.021062795575478,3.46617604672179,0.0296415347240598,0.993636366634833,5.99760325363846e-09,383,"S",233.711073116862,249,0.269076305220884,0.00315478232328657,0.0044166952526012,590.362418213714
"16","st14",16,"5/15/13","2013-05-15 13:02:00",18.05135276,16.79156117,3.271707317,2.813991131,372,0.930210683,NA,NA,"2013-05-15 15:00:00","5/15/13","15:00",37,-2.46203288905318,-0.0106739846045545,0.0305150560521425,0.000644101583962912,2.40580612666934e-12,18,0.938488402589839,"st14","2013-05-15 13:02:00",0.0819444444444444,67,-0.696347782103235,0.021062795575478,3.46617604672179,0.0296415347240598,0.993636366634833,5.99760325363846e-09,383,"S",390.129029017725,372,0.18010752688172,0.00192246496909987,0.00269145095673982,345.780821965104
"17","st17",17,"8/4/12","2012-08-04 13:46:48",43.19,NA,6.1,NA,NA,NA,NA,NA,"2012-08-08 13:46:00","8/8/12","13:46",13,-1.86146518915122,-0.003021216998634,0.0419486564757789,0.000885438192707111,0.00310700165453416,18,0.392764367096085,"st17","2012-08-04 13:46:48",3.99944444444444,67,-0.816933238979014,0.0954689659965756,4.02176209417324,0.203664038531909,0.924264607967452,0.000139792564208595,211.5,"S",485.023963577877,485.023963577877,0.138137504600311,0.000417343377047341,0.000584280727866278,70.1947612753237
"18","st17",18,"10/29/12","2012-10-29 17:10:30",113.04,90.96,4.9,4.5,222,0.8,0.31,0.32,"2012-10-29 17:17:00","10/29/12","17:17",22,3.34080972002738,-0.00104087769394217,0.06193779584665,0.00138666707119366,0.463770790383597,16,0.0340176423040028,"st17","2012-10-29 17:10:30",0.00451388888888889,67,-0.816933238979014,0.0954689659965756,4.02176209417324,0.203664038531909,0.924264607967452,0.000139792564208595,211.5,"S",221.008259522379,222,0.301801801801802,0.000314138763487051,0.000439794268881872,54.3616529121635
"19","st17",19,"5/15/13","2013-05-15 11:52:00",87.0082161,64.57473212,5.04389739,4.706678668,294,0.742168211,NA,NA,"2013-05-15 15:00:00","5/15/13","15:00",38,-1.83916865925912,-0.00135284425270283,0.0284596153212568,0.000600716029361829,0.0370421048049347,18,0.219824843307958,"st17","2013-05-15 11:52:00",0.130555555555556,67,-0.816933238979014,0.0954689659965756,4.02176209417324,0.203664038531909,0.924264607967452,0.000139792564208595,211.5,"S",273.697509168308,294,0.227891156462585,0.00030830124126221,0.000431621737767093,53.1697061094193
"20","st5",20,"5/1/12","2012-05-01 15:35:24",21.04860535,21.42382234,15.49092647,15.35754412,294,1.017826216,0.444847676,0.331751821,"2012-05-01 16:15:00","5/1/12","16:15",4,-1.00376471999894,-0.00272667851071419,0.0299960146305486,0.000456137319437243,1.17955931221833e-05,18,0.665014011529083,"st5","2012-05-01 15:35:24",0.0275,93,-0.89708363045381,0.749888028725854,3.78559190595612,1.03103568316729,0.169741590083745,0.27052644241265,371.444444444444,"NS",371.444444444444,294,0.316326530612245,0.000862520753389183,0.00120752905474486,116.10598135387
"21","st5",21,"10/23/12","2012-10-23 12:39:21",28.58,22.22,16,16.1,288,0.78,0.32,0.33,"2012-10-23 13:57:00","10/23/12","13:57",16,3.19921602982825,-0.00459084262494668,0.0538874039430567,0.000819444059111272,2.56997500554964e-05,18,0.635529687571092,"st5","2012-10-23 12:39:21",0.0539236111111111,93,-0.89708363045381,0.749888028725854,3.78559190595612,1.03103568316729,0.169741590083745,0.27052644241265,371.444444444444,"NS",371.444444444444,288,0.322916666666667,0.00148245959763903,0.00207544343669465,197.162570140169
"22","st5",22,"5/8/13","2013-05-08 12:08:00",21.32389436,20.56058455,19.16834562,18.86904177,372,0.964204015,NA,NA,"2013-05-08 13:40:00","5/8/13","13:40",26,3.02848117348607,-0.00361989697203412,0.0253828204189884,0.000385986332127034,2.37579320832438e-08,18,0.830112673353178,"st5","2013-05-08 12:08:00",0.0638888888888889,93,-0.89708363045381,0.749888028725854,3.78559190595612,1.03103568316729,0.169741590083745,0.27052644241265,371.444444444444,"NS",371.444444444444,372,0.25,0.00090497424300853,0.00126696394021194,111.646214116908
