"","parameter","metab_date","metab_stream","analysis_date","PriorMean","PriorSD","L95per","median","U95per"
"173","pmaxr",2015-07-02,"st11U",2020-05-21 22:42:10,0.0249391769962841,0.00623479424907102,0.0127176126839685,0.0246928928189728,0.0369811704608734
"174","alphar",2015-07-02,"st11U",2020-05-21 22:42:10,9.43400964150193e-07,2.35850241037548e-07,4.6966377027436e-07,9.37107928540936e-07,1.42822251471153e-06
"175","err",2015-07-02,"st11U",2020-05-21 22:42:10,-2.39965244051364,0.599913110128411,-3.51234836522369,-2.33807800897862,-1.21783156274623
"176","Kr",2015-07-02,"st11U",2020-05-21 22:42:10,340,85,188.371500621803,341.268900173473,504.932210740753
"177","DOgw",2015-07-02,"st11U",2020-05-21 22:42:10,8.99910962499778,3.88086602578029,4.91910442393255,8.97512554350293,13.2131917236204
"178","sr",2015-07-02,"st11U",2020-05-21 22:42:10,NA,NA,2.03627446569206,2.0622797264808,2.08866724666904
"179","bymed_GPP",2015-07-02,"st11U",2020-05-21 22:42:10,NA,NA,NA,3.84978016374723,NA
"180","BS_GPP",2015-07-02,"st11U",2020-05-21 22:42:10,NA,NA,2.32666223221095,3.71975796646127,5.21522020087088
"181","accept4df",2015-07-03,"st11U",2020-05-22 00:16:10,NA,NA,NA,0.19386,NA
"182","pmaxr",2015-07-03,"st11U",2020-05-22 00:16:10,0.0296334244684467,0.00740835611711166,0.0160226416525558,0.0300705200519155,0.0441336851104523
"183","alphar",2015-07-03,"st11U",2020-05-22 00:16:10,7.87455829772497e-07,1.96863957443124e-07,4.0828454974314e-07,7.69113925002885e-07,1.16133871983752e-06
"184","err",2015-07-03,"st11U",2020-05-22 00:16:10,-2.08081137963723,0.520202844909308,-2.98316303016002,-2.07623694385341,-1.05589029690391
"185","Kr",2015-07-03,"st11U",2020-05-22 00:16:10,340,85,171.617027331906,347.429682317575,526.997964685367
"186","DOgw",2015-07-03,"st11U",2020-05-22 00:16:10,8.90294951875769,3.83939697996425,4.98951603185796,9.05438311520967,13.5312562024163
"187","sr",2015-07-03,"st11U",2020-05-22 00:16:10,NA,NA,2.03132451702008,2.05648387078272,2.08275182613537
"188","bymed_GPP",2015-07-03,"st11U",2020-05-22 00:16:10,NA,NA,NA,4.36267590082483,NA
"189","BS_GPP",2015-07-03,"st11U",2020-05-22 00:16:10,NA,NA,2.6383595518559,4.23805891878558,5.83662571308466
"190","accept4df",2015-07-04,"st11U",2020-05-21 14:50:23,NA,NA,NA,0.19342,NA
"191","pmaxr",2015-07-04,"st11U",2020-05-21 14:50:23,0.0394366331903799,0.00985915829759497,0.0211623640059215,0.0389114602739972,0.0575619928563764
"192","alphar",2015-07-04,"st11U",2020-05-21 14:50:23,9.98199436744197e-07,2.49549859186049e-07,5.36166537880154e-07,1.00024806047948e-06,1.4974624545873e-06
"193","err",2015-07-04,"st11U",2020-05-21 14:50:23,-2.17035001509829,0.542587503774572,-3.25069380673099,-2.14287474510213,-1.071322698819
"194","Kr",2015-07-04,"st11U",2020-05-21 14:50:23,340,85,178.81314275887,337.852439262706,493.261615281025
"195","DOgw",2015-07-04,"st11U",2020-05-21 14:50:23,8.90326155645751,3.8395315462223,4.91752199942191,9.44887117650222,13.8076530441249
"196","sr",2015-07-04,"st11U",2020-05-21 14:50:23,NA,NA,2.03466380569408,2.0602762305951,2.08647577538556
"197","bymed_GPP",2015-07-04,"st11U",2020-05-21 14:50:23,NA,NA,NA,4.75297358777994,NA
